Ngân hàng,Tab,Nhóm,Yêu cầu,Diễn giải đáp ứng
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),Yêu cầu chung,[MISSING_DATA]
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),Yêu cầu số lượng users,[MISSING_DATA]
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Hệ thống đảm bảo đáp ứng được số lượng enduser và số lượng KH: - Số lượng enduser: dự kiến cuối năm 2026, 2027, 2028 lần lượt: khoảng 5.800; 7.000 và 8.200 users - Số lượng KH: dự kiến cuối 2026 7,3tr KH. Cuối 2028 10 tr KH","Đáp ứng hoàn toàn! Nhà thầu cam kết thời gian phản hồi cho các tác vụ nghiệp vụ tiêu chuẩn trên hệ thống Smart CRM đạt mức P95 < 2 giây và tối đa không quá 5 giây trong điều kiện vận hành tiêu chuẩn. Hiện tại, nhà Thầu đã và đang cung cấp, vận hành giải pháp SmartCRM cho HDBank(~5.000 user), EximBank(~8.000 user), do vậy Nhà thầu tự tin giải pháp sẵn sàng 5.000 user hoạt động đồng thời và có thể lên tới 10.000 user hoạt động. Để đạt được chỉ số này, giải pháp được thiết kế phân lớp kiến trúc và chiến lược cô lập tài nguyên.  Tham chiếu thêm về thông số kỹ thuật trong bản Stress test ở mục 1.4.16 - Hệ thống có thể chịu tải gấp 10 lần số lượng user sizing hiện tại trong Yêu cầu kỹ thuật và năng lực nhà thầu - Lớp Applications: được vận hành trong môi trường Kubernetes, cho phép auto-scaling tự động tăng cường số lượng Pods ngay khi nhận thấy tải cao thời gian phản hồi có dấu hiệu tăng lên quá ngưỡng quy định. - Cơ chế Caching (Redis): Các dữ liệu có tần suất truy cập cao như thông tin RM, Opportunity, hay Customer 360º được ưu tiên lưu trữ tại lớp Cache (Redis), giúp rút ngắn thời gian phản hồi xuống mức milliseconds thay vì truy vấn trực tiếp vào Database. - Xử lý bất đồng bộ qua Kafka: Đối với các nghiệp vụ phức tạp như cập nhật đồng loạt bản ghi, phân bổ CHB hay Lead Gen, hệ thống thực hiện xác nhận giao dịch ngay lập tức (< 1 giây) và đẩy tác vụ vào hàng đợi Kafka để xử lý background. Cách tiếp cận này đảm bảo giao diện người dùng luôn ở trạng thái sẵn sàng, loại bỏ hoàn toàn hiện tượng treo (loading).  - Lớp Database: phân tách 2 cụm OLAP (On-line Analytical processing) và OLTP (On-line Transactional processing):   + OLAP: Các tiến trình tổng hợp dữ liệu, truy vấn báo cáo phức tạp hoặc trích xuất dữ liệu lớn được tách rời hoàn toàn khỏi hệ thống lõi. Các tác vụ này được xử lý bởi các Background Jobs chuyên biệt và thực thi trên phân vùng database OLAP (sử dụng StarRocks/Hadoop).   + OLTP: vận hành nghiệp vụ hàng ngày của CRM. Xử lý chính trên cấu phần MongoDB. Cấu phần MongoDB được triển khai theo mô hình Primary-Secondary-Arbiter (PSA), mô hình này không chỉ đảm bảo tính sẵn sàng cao mà còn cho phép phân tải các tác vụ ""Đọc"" (Read) sang các node Secondary, giúp giảm độ trễ (latency) xuống mức thấp nhất. Bên cạnh đó, cấu phần MongoDB còn được tách thành 2 cụm chia theo domain nghiệp vụ để tránh xung đột tài nguyên:    + Cụm 1 (Core Customer Data) - Chuyên biệt cho nhóm dữ liệu định danh và tài chính cốt lõi gồm Profile, Account, và Product holding.   + Cụm 2 (Operational Data): Chuyên biệt cho luồng vận hành kinh doanh gồm Sale pipeline, Workflow, Lead, Ticket... giúp đảm bảo các quy trình làm việc của CBB diễn ra thông suốt."
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Hệ thống đảm bảo đáp ứng được số lượng enduser và số lượng KH: - Số lượng enduser: dự kiến cuối năm 2026, 2027, 2028 lần lượt: khoảng 5.800; 7.000 và 8.200 users - Số lượng KH: dự kiến cuối 2026 7,3tr KH. Cuối 2028 10 tr KH",[MISSING_DATA]
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),Yêu cầu chung giải pháp trên web,"Hệ thống SmartCRM đã đáp ứng các yêu cầu chung giải pháp trên web, với chi tiết diễn giải bên dưới cho từng hạng mục"
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Giải pháp phải được thiết kế tập trung trên cùng một nền tảng ứng dụng, từ hội sở đến các Vùng, các đơn vị kinh doanh; từ cán bộ quản lý đến nhân viên/cán bộ bán hàng","Đáp ứng hoàn toàn! Hệ thống SmartCRM đảm bảo tính nhất quán về quy trình nghiệp vụ xuyên suốt từ Hội sở, các Vùng, các Chi nhánh/PGD đến từng Cán bộ bán hàng (CBB) trên cả giao diện Web và Mobile App. 1. Nền tảng ứng dụng thống nhất: Toàn bộ cấu hình hệ thống, danh mục sản phẩm, quy tắc phân bổ KPI và tham số nghiệp vụ được thiết lập tập trung tại Hội sở và áp dụng đồng bộ xuống các đơn vị. + Cấp Hội sở/Vùng: Sử dụng hệ thống để giám sát toàn diện, điều phối chiến dịch và quản trị rủi ro trên quy mô lớn. + Cấp Đơn vị kinh doanh (Chi nhánh/PGD): Lãnh đạo đơn vị sử dụng cùng nền tảng để giao chỉ tiêu, phê duyệt kế hoạch và theo dõi hiệu suất của nhân viên thuộc quyền. + Cấp CBB/Nhân viên: Sử dụng hệ thống để quản lý khách hàng, thực hiện kế hoạch tương tác và báo cáo kết quả kinh doanh hàng ngày."
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Hệ thống phải hỗ trợ phân quyền dữ liệu theo từng cấp từ hội sở đến ĐVKD, từ cán bộ quản lý đến cán bộ bán hàng, sao cho mỗi người dùng chỉ được thao tác với các dữ liệu thuộc thẩm quyền của mình","Đáp ứng hoàn toàn! Hệ thống đáp ứng hoàn toàn yêu cầu phân quyền dữ liệu cho người dùng theo chức danh. Bằng việc kết hợp hai mô hình phân quyền tiên tiến là RBAC (Dựa trên vai trò) và ABAC (Dựa trên thuộc tính), Admin có thể thiết lập quyền xem và phân bổ dữ liệu một cách linh hoạt, chính xác đến từng CBB. 1. Phân quyền theo vai trò (RBAC): Admin định nghĩa các vai trò tương ứng với chức danh (Ví dụ: CBBH, Kiểm soát viên, Giám đốc Trung tâm). Mỗi vai trò sẽ có quyền hạn mặc định đối với các tính năng và loại dữ liệu cụ thể trong hệ thống. 2. Phân quyền chi tiết theo thuộc tính (ABAC): Đây là lớp bảo mật nâng cao để xử lý các tình huống nghiệp vụ thực tế: + Theo đơn vị công tác: CBBH chức danh ""Quan hệ khách hàng"" tại Chi nhánh A chỉ được thấy dữ liệu của Chi nhánh A. + Theo Danh mục quản lý (Portfolio): CBBH chỉ được quyền chỉnh sửa thông tin của những khách hàng được phân bổ trực tiếp cho mình (Owner)."
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Hệ thống phải hỗ trợ phân quyền dữ liệu theo từng cấp từ hội sở đến ĐVKD, từ cán bộ quản lý đến cán bộ bán hàng, sao cho mỗi người dùng chỉ được thao tác với các dữ liệu thuộc thẩm quyền của mình",[MISSING_DATA]
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),"Hệ thống phải hỗ trợ phân quyền dữ liệu theo từng cấp từ hội sở đến ĐVKD, từ cán bộ quản lý đến cán bộ bán hàng, sao cho mỗi người dùng chỉ được thao tác với các dữ liệu thuộc thẩm quyền của mình",[MISSING_DATA]
LPBank,Yêu cầu nghiệp vụ,1. Nghiệp vụ (Functional),Giải pháp hỗ trợ giám sát các dịch vụ theo thời gian thực cũng như tạo ra các báo cáo thường kỳ/đặc biệt dựa trên dữ liệu lịch sử,"Đáp ứng hoàn toàn! Hệ thống Smart CRM cho phép theo dõi các hoạt động kinh doanh và dịch vụ theo thời gian thực (Real-time) đối với các dữ liệu quản lý trên CRM. Đồng thời, hệ thống duy trì kho dữ liệu lịch sử ổn định để phục vụ công tác chiết xuất báo cáo định kỳ hoặc các báo cáo quản trị đặc biệt theo yêu cầu của [BANK_NAME]. 1. Giám sát hoạt động theo thời gian thực: + Quản lý dữ liệu chủ động: Hệ thống cho phép theo dõi tức thời các đối tượng được quản lý trực tiếp trên CRM như: Cơ hội bán hàng (Leads), Kế hoạch tương tác của CBB và Trạng thái xử lý hồ sơ. Mọi thay đổi trên các đối tượng dữ liệu đều được hệ thống ghi nhận trên Event Log, giúp quản trị viên giám sát được biến động dữ liệu ngay tại thời điểm phát sinh. + Giám sát dữ liệu tích hợp: Đối với thông tin từ hệ thống ngân hàng (Core T24, Thẻ...), hệ thống cung cấp Monitor Log để theo dõi trạng thái đồng bộ dữ liệu theo tần suất tích hợp (Real-time hoặc Batch), đảm bảo tính thông suốt của luồng tin. 2. Báo cáo thường kỳ và Báo cáo đặc biệt: + Khai thác dữ liệu lịch sử: Hệ thống lưu trữ lịch sử tương tác, doanh thu và kết quả KPI, cho phép tạo các báo cáo so sánh xu hướng qua nhiều kỳ (tháng, quý, năm). + Tùy biến báo cáo đặc biệt: Người dùng có thể sử dụng công cụ kéo thả để tự tạo các báo cáo đột xuất cho các chiến dịch ngắn hạn. VD: Báo cáo nhanh danh sách khách hàng MSME phản hồi tiêu cực về sản phẩm mới trong vòng 24 giờ qua."
