Nhóm,Từ khóa,Tên tài liệu
Pháp lý,"ĐKKD, Giấy phép, Vốn điều lệ, thành lập >= 3/5 năm",Giấy chứng nhận đăng ký doanh nghiệp
Pháp lý,"Quyền sở hữu trí tuệ, Bản quyền, Phần mềm gốc",Giấy chứng nhận quyền sở hữu trí tuệ
Kinh nghiệm,"Khách hàng tương tự, Danh sách khách hàng, CRM cho NH",Danh sách khách hàng sử dụng giải pháp CRM
Hợp đồng,"Hợp đồng tương tự, >11.5 tỷ, Quy mô tương tự",Hợp đồng Khách hàng có quy mô tương tự
Năng lực,"BBNT, Golive, Nghiệm thu, License còn hiệu lực",BBNT & Hợp đồng License
Số liệu,"Profile khách hàng, 10 triệu profiles, 7,5 triệu KH",Tài liệu chứng minh năng lực (Số lượng Profiles & Users)
Nhân sự,"PM, PO, BA Lead, CV nhân sự, Chứng chỉ, Kinh nghiệm lead","Danh sách nhân sự & CV, bằng cấp triển khai dự án"
Giải pháp,"Thuyết minh giải pháp CRM, Quy trình nghiệp vụ",Tài liệu Thuyết minh Giải pháp CRM
Giải pháp,"Mobile App, App Store, Giao diện mobile",Tài liệu thuyết minh giải pháp Mobile App
Giải pháp,"Marketing Automation, Campaign, Automation",Tài liệu thuyết minh giải pháp Marketing Automation
Kỹ thuật,"Kiến trúc, Microservices, API, Cloud-native, tích hợp",Tài liệu thuyết minh Kiến trúc giải pháp
Vận hành,"BCP, DRP, Sao lưu, Phục hồi thảm họa, SLA",Tài liệu về Kinh doanh liên tục & Phục hồi thảm họa
Cam kết,"Cam kết bảo mật, Bảo lãnh, Tiến độ","Cam kết đáp ứng yêu cầu (Triển khai/Bảo mật/...)"
